id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights,total_reviews,avg_rating
637,Dupont Circle,1/13/2017,F,1,7,Entire home/apt,5,2 baths,2,2,400,31,42,4.9
638,Union Station,2/11/2011,F,0.75,1,Entire home/apt,4,1.5 baths,2,2,250,3,29,4.97
639,Capitol Hill,1/6/2016,T,1,2,Entire home/apt,2,1 bath,1,1,199,2,97,4.92
640,Georgetown,1/16/2017,F,,1,Entire home/apt,3,1.5 baths,2,2,175,31,28,5
642,Dupont Circle,7/18/2012,F,1,6,Entire home/apt,3,1 bath,1,1,126,31,99,4.76
643,Dupont Circle,6/4/2013,F,,3,Entire home/apt,4,1 bath,,2,100,31,6,4.8
645,Union Station,5/30/2016,F,,1,Entire home/apt,4,1 bath,2,2,200,31,19,4.95
646,Shaw,2/10/2016,F,1,6,Entire home/apt,5,1.5 baths,2,3,450,31,10,4.78
647,Dupont Circle,6/15/2015,T,0.77,4,Entire home/apt,14,4 baths,6,6,928,3,52,4.94
649,Capitol Hill,1/21/2017,T,1,1,Entire home/apt,2,1 bath,1,2,149,2,442,4.98
652,Shaw,4/22/2014,F,,4,Entire home/apt,2,1 bath,1,1,149,31,7,5
654,Shaw,6/11/2014,T,0.92,157,Entire home/apt,5,1.5 baths,2,2,253,30,9,4.67
655,Georgetown,4/11/2011,T,0.99,6,Entire home/apt,2,1 bath,1,1,145,2,252,4.98
663,Union Station,8/18/2013,F,0.99,2,Entire home/apt,4,1 bath,1,1,135,2,329,4.87
664,Union Station,8/29/2013,T,1,1,Entire home/apt,2,1 bath,1,1,105,2,534,4.93
667,Georgetown,11/23/2011,T,1,3,Entire home/apt,1,1 bath,1,1,115,4,17,4.75
668,Foggy Bottom,11/1/2014,F,,1,Entire home/apt,4,1 bath,2,2,149,31,256,4.91
670,Dupont Circle,4/26/2014,F,,1,Entire home/apt,2,1 bath,,1,60,31,9,4.71
671,Union Station,7/15/2014,F,,2,Entire home/apt,6,2.5 baths,3,4,250,31,3,5
675,Georgetown,1/25/2014,T,1,1,Entire home/apt,4,1.5 baths,2,2,171,5,232,4.85
680,Foggy Bottom,12/9/2015,F,,5,NA,2,1 shared bath,,1,50,31,134,4.78
